153091	890	0	850	444
153091	892	2	850	446
153091	38915	4	850	23
153091	897	10	2100	446
153091	896	11	2100	444
153091	65364	32	2600	444
153091	65365	33	2600	446
153092	902	0	850	452
153092	900	2	850	450
153092	903	3	850	453
153092	904	4	850	454
153092	65369	17	2600	452
153092	65368	30	2600	450
153092	65370	16	2600	453
153092	65371	34	2600	454
134897	38250	0	850	354
134897	38251	1	850	355
134897	38252	2	850	356
134897	38253	3	850	357
134897	38254	4	850	358
134897	38255	5	850	359
134897	38245	21	850	365
134978	56530	0	850	60
134978	56531	1	850	61
134978	56522	2	850	56
134978	56523	3	850	57
134978	56524	4	850	58
134978	56525	5	850	59
134978	56535	21	850	65
134978	48196	27	2100	61
